Source Type,Source ID,Target Type,Target ID,Label
Protein,Q8N3I7,Protein,Q9HBK9,Interacts_With
Protein,P29972,Protein,Q9NUB4,Interacts_With
Protein,Q9HBH7,Protein,P51857,Interacts_With
Protein,O60832,Protein,Q9Y4D1,Interacts_With
Protein,Q8WYN3,Protein,Q07065,Interacts_With
Protein,Q99715,Protein,P26196,Interacts_With
Protein,Q7L190,Protein,P19961,Interacts_With
Protein,O43306,Protein,Q9P1F3,Interacts_With
Protein,Q9Y2A9,Protein,P0DMC3,Interacts_With
Protein,Q8N4C9,Protein,Q6Y288,Interacts_With
Protein,Q9Y698,Protein,Q9NY35,Interacts_With
Protein,Q8TEY5,Protein,O60762,Interacts_With
Protein,Q53S99,Protein,Q8NI51,Interacts_With
Protein,O43286,Protein,P54252,Interacts_With
Protein,Q9NX63,Protein,Q9H0L4,Interacts_With
Protein,A2RUQ5,Protein,Q7L3B6,Interacts_With
Protein,Q5SVJ3,Protein,O15144,Interacts_With
Protein,Q9Y2F9,Protein,Q8IW93,Interacts_With
Protein,Q9NQ75,Protein,Q13616,Interacts_With
Protein,P59910,Protein,Q5T4W7,Interacts_With
Protein,P0DMU8,Protein,O43520,Interacts_With
Protein,Q66GS9,Protein,P63167,Interacts_With
Protein,Q9NWW5,Protein,Q5T655,Interacts_With
Protein,Q08462,Protein,Q9Y698,Interacts_With
Protein,B7Z1M9,Protein,Q4KMG0,Interacts_With
Protein,Q8N1L4,Protein,Q8IUK8,Interacts_With
Protein,Q5TCH4,Protein,P54252,Interacts_With
Protein,Q9C0K3,Protein,Q5T4W7,Interacts_With
Protein,Q96BT3,Protein,Q9P203,Interacts_With
Protein,P07307,Protein,Q9BXJ2,Interacts_With
Protein,O43169,Protein,Q8IW93,Interacts_With
Protein,Q6P387,Protein,Q96BT3,Interacts_With
Protein,Q8IWP9,Protein,P13497,Interacts_With
Protein,Q9NP61,Domain,IPR001305,Has
Protein,Q9Y4X0,Domain,IPR017930,Has
Protein,Q15825,Domain,IPR035372,Has
Protein,Q96P48,Domain,IPR004226,Has
Protein,Q8N1L4,Domain,IPR004160,Has
Protein,Q7RTS9,Domain,IPR007012,Has
Protein,Q96N68,Domain,IPR001581,Has
Protein,Q9UFH2,Domain,IPR007012,Has
Protein,Q5T4W7,Domain,IPR019533,Has
Protein,Q5VUE5,Domain,IPR018996,Has
Protein,Q9H816,Domain,IPR029002,Has
Protein,Q9Y2F9,Domain,IPR045703,Has
Protein,P55285,Domain,IPR026823,Has
Protein,Q8IZP9,Domain,IPR032365,Has
Protein,Q9UGN4,Domain,IPR018996,Has
Protein,Q68D51,Domain,IPR005199,Has
Protein,P47895,Domain,IPR013243,Has
Protein,Q9Y258,Domain,IPR012978,Has
Protein,Q96PC3,Domain,IPR041680,Has
Protein,Q12834,Domain,IPR032040,Has
Protein,Q8N687,Domain,IPR001254,Has
Protein,P04745,Domain,IPR015015,Has
Protein,P07307,Domain,IPR032040,Has
Protein,Q14012,Domain,IPR013746,Has
Protein,P51636,Domain,IPR027353,Has
Protein,Q8WV16,Domain,IPR041680,Has
Protein,Q96J87,Domain,IPR004600,Has
Protein,O43707,Domain,IPR026823,Has
Protein,Q8IZC6,Domain,IPR013500,Has
Protein,Q9NQ75,Domain,IPR004104,Has
Protein,Q2KHT3,Domain,IPR024548,Has
Protein,Q8NCG5,Domain,IPR019575,Has
Protein,O75348,Domain,IPR006097,Has
Protein,O14734,Domain,IPR002638,Has
Protein,Q8IZC6,Domain,IPR021987,Has
Protein,Q5SVJ3,Domain,IPR024767,Has
Protein,Q53S99,Domain,IPR019575,Has
Protein,Q6PK04,Domain,IPR001254,Has
Protein,Q96AP0,Domain,IPR027353,Has
Protein,Q96Q07,Domain,IPR015377,Has
Protein,Q4VCS5,Domain,IPR005065,Has
Protein,Q6PK04,Domain,IPR041680,Has
Protein,P51857,Domain,IPR041291,Has
Protein,P19099,Domain,IPR004600,Has
Protein,Q9H161,Domain,IPR025749,Has
Protein,Q96AZ1,Domain,IPR002017,Has
Protein,Q4VCS5,Domain,IPR039064,Has
Protein,Q6Y288,Domain,IPR013500,Has
Protein,Q8NCG5,Domain,IPR000268,Has
Protein,P52798,Domain,IPR025697,Has
Protein,Q8TE58,Domain,IPR010504,Has
Protein,Q9H1Y0,Domain,IPR011625,Has
Protein,C9J069,Domain,IPR032040,Has
Protein,Q9UHD4,Domain,IPR020470,Has
Protein,Q8WYN3,Domain,IPR012981,Has
Protein,Q9H6F5,Domain,IPR000795,Has
Protein,Q9H0L4,Domain,IPR002638,Has
Protein,Q8TEB1,Domain,IPR013934,Has
Protein,A6NKQ9,Domain,IPR001810,Has
Protein,Q9UKJ5,Domain,IPR005199,Has
Protein,P27708,Domain,IPR004600,Has
Protein,P59910,Domain,IPR004160,Has
Protein,Q68D51,Domain,IPR005101,Has
Protein,Q9H1M4,Domain,IPR012978,Has
Protein,Q9C0K3,Domain,IPR041489,Has
Protein,Q9H2X0,Domain,IPR013746,Has
Protein,A0A1W2PPF3,Domain,IPR024767,Has
Protein,P29400,Domain,IPR027179,Has
Protein,Q8WYQ3,Domain,IPR033768,Has
Protein,C9J202,Domain,IPR015341,Has
Protein,P02489,Domain,IPR013216,Has
Protein,Q92771,Domain,IPR002017,Has
Protein,Q9ULH1,Domain,IPR012978,Has
Protein,Q9NWW5,Domain,IPR002773,Has
Protein,Q53S99,Domain,IPR002773,Has
Protein,Q14012,Domain,IPR013216,Has
Protein,O75348,Domain,IPR004123,Has
Protein,Q9P203,Domain,IPR006011,Has
Protein,Q9H1M4,Domain,IPR015019,Has
Protein,H7C241,Domain,IPR001581,Has
Protein,Q14746,Domain,IPR024548,Has
Protein,P84085,Domain,IPR013243,Has
Protein,P59910,Domain,IPR041489,Has
Protein,P52798,Domain,IPR020470,Has
Protein,Q92771,Domain,IPR026823,Has
Protein,Q9BXJ2,Function,GO:0009922,Enables
Protein,Q8IWQ3,Function,GO:0004408,Enables
Protein,Q9UMX3,Function,GO:0030165,Enables
Protein,Q9Y698,Function,GO:0050479,Enables
Protein,Q8TEH3,Function,GO:0047860,Enables
Protein,A6NJI1,Function,GO:0004900,Enables
Protein,Q5SVJ3,Function,GO:0004572,Enables
Protein,Q9P203,Function,GO:0004850,Enables
Protein,Q9C0K3,Function,GO:0031370,Enables
Protein,Q9Y6A4,Function,GO:0050479,Enables
Protein,P12109,Function,GO:0019978,Enables
Protein,P29400,Function,GO:0004869,Enables
Protein,P32320,Function,GO:0045504,Enables
Protein,Q8IVL8,Function,GO:1904013,Enables
Protein,Q9H1M4,Function,GO:0004555,Enables
Protein,O43707,Function,GO:0022829,Enables
Protein,Q9BXJ5,Function,GO:0102756,Enables
Protein,Q68D51,Function,GO:0055105,Enables
Protein,P52798,Function,GO:0022829,Enables
Protein,P0DMC3,Function,GO:0043199,Enables
Protein,Q9H2X0,Function,GO:0047860,Enables
Protein,Q9ULH1,Function,GO:0005391,Enables
Protein,Q6ZUS6,Function,GO:0005459,Enables
Protein,Q8N5C7,Function,GO:0051908,Enables
Protein,Q9NQW6,Function,GO:0036002,Enables
Protein,P17540,Function,GO:0015190,Enables
Protein,Q8WYQ3,Function,GO:0004572,Enables
Protein,Q9ULH1,Function,GO:0017110,Enables
Protein,Q9Y6A4,Function,GO:0070577,Enables
Protein,Q86TX2,Function,GO:0005248,Enables
Protein,Q9NX63,Function,GO:0008296,Enables
Protein,Q9P203,Function,GO:0005248,Enables
Protein,O14981,Function,GO:0004375,Enables
Protein,P63172,Function,GO:0009922,Enables
Protein,Q9Y2Z9,Function,GO:0015467,Enables
Protein,O14514,Function,GO:0047860,Enables
Protein,O95376,Function,GO:0035605,Enables
Protein,P13497,Function,GO:0032052,Enables
Protein,Q8N4Q1,Function,GO:0008569,Enables
Protein,Q8IWT3,Function,GO:0045499,Enables
Protein,P19397,Function,GO:0004549,Enables
Protein,Q9C0I3,Function,GO:0004900,Enables
Protein,Q9UEE9,Function,GO:0035605,Enables
Protein,Q9H2X0,Function,GO:0097726,Enables
Protein,Q8TEY5,Function,GO:0045153,Enables
Protein,Q9HC77,Function,GO:0097690,Enables
Protein,Q6RFH8,Function,GO:0017110,Enables
Protein,P29972,Function,GO:0018549,Enables
Protein,A6NC57,Function,GO:0032052,Enables
Protein,Q9UNU6,Function,GO:0052824,Enables
Protein,Q9H3Q1,Function,GO:0019772,Enables
Protein,Q9Y2F9,Function,GO:0052381,Enables
Protein,Q7L3B6,Function,GO:0043812,Enables
Protein,O94805,Function,GO:0019145,Enables
Protein,Q7L3B6,Function,GO:0015190,Enables
Protein,P55285,Function,GO:0004375,Enables
Protein,Q9H3Q1,Function,GO:0004470,Enables
Protein,P32320,Function,GO:0060229,Enables
Protein,P54819,Function,GO:0102158,Enables
Protein,Q8IWQ3,Function,GO:0004065,Enables
Protein,Q68DC2,Function,GO:0004462,Enables
Protein,Q8NI51,Function,GO:0005248,Enables
Protein,Q9H1C7,Function,GO:0019772,Enables
Protein,Q9NR19,Function,GO:0035731,Enables
Protein,Q9UKV5,Function,GO:0003912,Enables
Protein,O15263,Function,GO:0015467,Enables
Protein,Q4VCS5,Function,GO:0102391,Enables
Protein,A0A1W2PPF3,Function,GO:0030165,Enables
Protein,Q7Z5M8,Function,GO:0046965,Enables
Protein,O60676,Function,GO:0070577,Enables
Protein,P08217,Function,GO:0038021,Enables
Protein,Q9Y2F9,Function,GO:0005540,Enables
Protein,Q9C0I3,Function,GO:0036002,Enables
Protein,Q9BT22,Function,GO:0031708,Enables
Protein,O95376,Function,GO:0004408,Enables
Protein,Q8N4Q1,Function,GO:0005169,Enables
Protein,Q92771,Function,GO:0071723,Enables
Protein,P42830,Function,GO:0004900,Enables
Protein,P29400,Function,GO:0102158,Enables
Protein,P04053,Function,GO:0030165,Enables
Protein,Q13155,Function,GO:0038021,Enables
Protein,P07307,Function,GO:0004850,Enables
Protein,P55291,Function,GO:0004470,Enables
Protein,P02489,Function,GO:0004549,Enables
Protein,Q8IZC6,Function,GO:0016296,Enables
Protein,O00244,Location,GO:0009279,Localizes_To
Protein,P19099,Location,GO:0005576,Localizes_To
Protein,Q7L3B6,Location,GO:0005576,Localizes_To
Protein,O00244,Location,GO:0005886,Localizes_To
Protein,Q9BPW4,Location,GO:0042597,Localizes_To
Protein,Q8NBA8,Location,GO:0009295,Localizes_To
Protein,Q6RI45,Location,GO:0005576,Localizes_To
Protein,P42830,Location,GO:0009986,Localizes_To
Protein,Q96P48,Location,GO:0005576,Localizes_To
Protein,P12109,Location,GO:0005737,Localizes_To
Protein,Q6ZU45,Location,GO:0009295,Localizes_To
Protein,Q6RFH8,Location,GO:0005886,Localizes_To
Protein,Q7RTS9,Location,GO:0016020,Localizes_To
Protein,Q96N68,Location,GO:0005737,Localizes_To
Protein,P55291,Location,GO:0009986,Localizes_To
Protein,P10645,Location,GO:0005886,Localizes_To
Protein,Q14011,Location,GO:0042597,Localizes_To
Protein,Q8N1L4,Location,GO:0005737,Localizes_To
Protein,Q8TEY5,Location,GO:0009279,Localizes_To
Protein,P58397,Location,GO:0005737,Localizes_To
Protein,P01133,Location,GO:0009279,Localizes_To
Protein,P42830,Location,GO:0005576,Localizes_To
Protein,P30411,Location,GO:0042597,Localizes_To
Protein,Q8WYQ3,Location,GO:0005886,Localizes_To
Protein,Q96GX9,Location,GO:0005576,Localizes_To
Protein,O14981,Location,GO:0009295,Localizes_To
Protein,Q13112,Location,GO:0005886,Localizes_To
Protein,Q4VCS5,Location,GO:0005737,Localizes_To
Protein,O75530,Location,GO:0005737,Localizes_To
Protein,P47902,Location,GO:0005737,Localizes_To
Protein,Q9H6F5,Location,GO:0009295,Localizes_To
Protein,Q14012,Location,GO:0009986,Localizes_To
Protein,Q9H1Y0,Location,GO:0009986,Localizes_To
Protein,O95154,Location,GO:0005576,Localizes_To
Protein,Q96AP0,Location,GO:0005576,Localizes_To
Protein,Q9H0L4,Location,GO:0009986,Localizes_To
Protein,Q01523,Location,GO:0005576,Localizes_To
Protein,Q7L190,Location,GO:0042597,Localizes_To
Protein,P04745,Location,GO:0009279,Localizes_To
Protein,Q5TID7,Location,GO:0009279,Localizes_To
Protein,Q9Y698,Location,GO:0005576,Localizes_To
Protein,Q8IZC6,Location,GO:0009279,Localizes_To
Protein,Q8TE58,Location,GO:0042597,Localizes_To
Protein,Q9BZB8,Location,GO:0009295,Localizes_To
Protein,Q7L190,Location,GO:0016020,Localizes_To
Protein,Q14011,Location,GO:0009279,Localizes_To
Protein,Q9H0L4,Location,GO:0009295,Localizes_To
Protein,P55291,Location,GO:0042597,Localizes_To
Protein,Q8N3I7,Location,GO:0009279,Localizes_To
Protein,P08217,Location,GO:0016020,Localizes_To
Protein,O60869,Location,GO:0009986,Localizes_To
Protein,Q9UNU6,Location,GO:0016020,Localizes_To
Protein,Q7Z5M8,Location,GO:0009279,Localizes_To
Protein,C9J069,Location,GO:0016020,Localizes_To
Protein,P19099,Location,GO:0005737,Localizes_To
Protein,Q4VCS5,Location,GO:0005886,Localizes_To
Protein,P80723,Location,GO:0009279,Localizes_To
Protein,Q7L190,Location,GO:0009279,Localizes_To
Protein,Q9HA90,Location,GO:0016020,Localizes_To
Protein,Q9UJU6,Location,GO:0009986,Localizes_To
Protein,Q9UJU6,Location,GO:0009279,Localizes_To
Protein,P15882,Location,GO:0005737,Localizes_To
Protein,Q96IT6,Location,GO:0009295,Localizes_To
Protein,Q9NR19,Location,GO:0042597,Localizes_To
Protein,O43918,Location,GO:0005886,Localizes_To
Protein,Q5TID7,Location,GO:0005886,Localizes_To
Protein,P35462,Location,GO:0016020,Localizes_To
Protein,O43169,Location,GO:0016020,Localizes_To
Protein,Q6RFH8,Location,GO:0009986,Localizes_To
Protein,P02458,Location,GO:0009295,Localizes_To
Protein,Q6Q788,Location,GO:0009295,Localizes_To
Protein,P13497,Location,GO:0005886,Localizes_To
Protein,Q14011,Location,GO:0009986,Localizes_To
Protein,Q9UFH2,Location,GO:0009295,Localizes_To
Protein,Q9UEE9,Location,GO:0042597,Localizes_To
Protein,P00736,Location,GO:0016020,Localizes_To
Protein,O15194,Location,GO:0009295,Localizes_To
Protein,O75027,Location,GO:0009279,Localizes_To
Protein,O94805,Location,GO:0009295,Localizes_To
Protein,Q8TEY5,Location,GO:0016020,Localizes_To
Protein,Q8IUR6,Location,GO:0042597,Localizes_To
Protein,Q9C0I3,Location,GO:0009986,Localizes_To
Protein,Q9Y4X0,Pathway,hsa00010,Take_Part_In
Protein,Q969J3,Pathway,R-MMU-3295583,Take_Part_In
Protein,Q9H0S4,Pathway,R-MMU-159231,Take_Part_In
Protein,Q6Y288,Pathway,R-HSA-69541,Take_Part_In
Protein,Q5H9J7,Pathway,R-MMU-444257,Take_Part_In
Protein,P33527,Pathway,R-BTA-70263,Take_Part_In
Protein,Q6ZU45,Pathway,hsa04724,Take_Part_In
Protein,P29972,Pathway,R-MMU-3000178,Take_Part_In
Protein,Q99715,Pathway,R-BTA-4551638,Take_Part_In
Protein,O43150,Pathway,R-HSA-983231,Take_Part_In
Protein,Q96D53,Pathway,hsa03420,Take_Part_In
Protein,P27708,Pathway,R-HSA-9619665,Take_Part_In
Protein,Q9HC77,Pathway,R-RNO-110314,Take_Part_In
Protein,Q504U0,Pathway,hsa00603,Take_Part_In
Protein,C9J202,Pathway,R-HSA-5250955,Take_Part_In
Protein,O15194,Pathway,R-HSA-3371511,Take_Part_In
Protein,Q9Y258,Pathway,R-HSA-5632987,Take_Part_In
Protein,P84085,Pathway,R-BTA-71403,Take_Part_In
Protein,Q9H0S4,Pathway,R-HSA-205017,Take_Part_In
Protein,P26196,Pathway,R-HSA-9619665,Take_Part_In
Protein,Q9UNU6,Pathway,R-BTA-8949613,Take_Part_In
Protein,Q2KHT3,Pathway,R-MMU-3000178,Take_Part_In
Protein,Q9C0I3,Pathway,hsa04610,Take_Part_In
Protein,Q9UFH2,Pathway,hsa04310,Take_Part_In
Protein,O95154,Pathway,R-HSA-110314,Take_Part_In
Protein,Q6RI45,Pathway,hsa00280,Take_Part_In
Protein,Q9BY08,Pathway,R-HSA-5578998,Take_Part_In
Protein,Q9Y258,Pathway,R-MMU-165159,Take_Part_In
Protein,O14981,Pathway,hsa04115,Take_Part_In
Protein,Q9C0K3,Pathway,R-MMU-9020958,Take_Part_In
Protein,H3BN30,Pathway,hsa00515,Take_Part_In
Protein,Q99715,Pathway,hsa04512,Take_Part_In
Protein,Q9UKV5,Pathway,hsa00020,Take_Part_In
Protein,P26196,Pathway,hsa04151,Take_Part_In
Protein,Q96IT6,Pathway,R-MMU-159231,Take_Part_In
Protein,Q5TCH4,Pathway,R-HSA-5693554,Take_Part_In
Protein,O15120,Pathway,hsa04530,Take_Part_In
Protein,D6RIA3,Pathway,R-HSA-1679131,Take_Part_In
Protein,O14514,Pathway,R-BTA-8949613,Take_Part_In
Protein,Q9NR19,Pathway,R-MMU-4419969,Take_Part_In
Protein,Q8N8D9,Pathway,R-HSA-167160,Take_Part_In
Protein,Q9H161,Pathway,R-MMU-5357956,Take_Part_In
Protein,Q8TEY5,Pathway,R-MMU-2142753,Take_Part_In
Protein,P25311,Pathway,R-HSA-1679131,Take_Part_In
Protein,P55285,Pathway,hsa00020,Take_Part_In
Protein,O60512,Pathway,R-MMU-69481,Take_Part_In
Protein,P04053,Pathway,hsa04146,Take_Part_In
Protein,Q7Z5M8,Pathway,R-HSA-164378,Take_Part_In
Protein,Q9H161,Pathway,R-RNO-6794361,Take_Part_In
Protein,Q15762,Pathway,R-MMU-9615017,Take_Part_In
Protein,Q9P203,Pathway,hsa04810,Take_Part_In
Protein,Q5T7M4,Pathway,hsa00240,Take_Part_In
Protein,Q9NY35,Pathway,R-MMU-70370,Take_Part_In
Protein,Q99700,Pathway,R-RNO-110314,Take_Part_In
Protein,Q7Z5M8,Pathway,R-BTA-5668599,Take_Part_In
Protein,Q9P1F3,Pathway,hsa00260,Take_Part_In
Protein,P54819,Pathway,hsa04080,Take_Part_In
Protein,Q13155,Pathway,hsa04310,Take_Part_In
Protein,P62952,Pathway,R-HSA-381183,Take_Part_In
Protein,P07307,Pathway,R-MMU-5621575,Take_Part_In
Protein,Q9BT22,Pathway,R-MMU-5625740,Take_Part_In
Protein,Q9HBK9,Pathway,hsa03440,Take_Part_In
Protein,P27708,Pathway,hsa04540,Take_Part_In
Protein,Q9C0K3,Pathway,hsa03008,Take_Part_In
Protein,P07307,Pathway,R-RNO-210991,Take_Part_In
Protein,Q9Y6A4,Pathway,hsa04020,Take_Part_In
Protein,P19397,Pathway,R-HSA-5693554,Take_Part_In
Protein,Q9NUB4,Pathway,hsa00564,Take_Part_In
Protein,Q8WV16,Pathway,hsa04721,Take_Part_In
Protein,Q8IWT3,Pathway,R-HSA-110056,Take_Part_In
Protein,P63172,Pathway,hsa00310,Take_Part_In
Protein,Q8N3I7,Pathway,hsa00020,Take_Part_In
Protein,O14645,Pathway,R-RNO-71032,Take_Part_In
Protein,Q9Y698,Pathway,R-HSA-5693554,Take_Part_In
Protein,Q9P1A6,Pathway,R-MMU-70370,Take_Part_In
Protein,P09497,Pathway,hsa04810,Take_Part_In
Protein,P25774,Pathway,R-HSA-111471,Take_Part_In
Protein,Q9ULE3,Pathway,R-BTA-70263,Take_Part_In
Protein,P19099,Pathway,R-MMU-194313,Take_Part_In
Protein,O43707,Pathway,hsa00500,Take_Part_In
Protein,Q9UJU6,Pathway,R-HSA-432030,Take_Part_In
Protein,Q9HBK9,Pathway,hsa01212,Take_Part_In
Protein,Q9BPW4,Pathway,hsa04724,Take_Part_In
Protein,O95741,Pathway,R-RNO-110314,Take_Part_In
Protein,Q8N4C9,Pathway,hsa00020,Take_Part_In
Protein,O43707,Pathway,R-HSA-163680,Take_Part_In
Protein,P10909,Pathway,hsa00440,Take_Part_In
Protein,Q7L3B6,Pathway,R-RNO-209563,Take_Part_In
Protein,O43169,Pathway,R-HSA-140342,Take_Part_In
Protein,Q8IYT2,Pathway,R-MMU-69481,Take_Part_In
Protein,Q9NZ63,Pathway,R-MMU-196757,Take_Part_In
Protein,Q5T4W7,Pathway,R-HSA-451927,Take_Part_In
Protein,Q9P1F3,Pathway,hsa00440,Take_Part_In
Protein,Q96LL3,Pathway,hsa04510,Take_Part_In
Protein,Q8TEY5,Pathway,hsa04260,Take_Part_In
Protein,Q5VU57,Pathway,R-HSA-5663020,Take_Part_In
Protein,Q15762,Pathway,R-MMU-3295583,Take_Part_In
Protein,Q5TID7,Pathway,hsa04115,Take_Part_In
Protein,Q96GX9,Pathway,hsa00564,Take_Part_In
Protein,Q9NQ75,Pathway,R-MMU-433692,Take_Part_In
Protein,P51636,Pathway,hsa04724,Take_Part_In
Protein,Q9NY35,Pathway,R-HSA-140837,Take_Part_In
Protein,O15263,Pathway,hsa04010,Take_Part_In
Protein,Q504U0,Pathway,R-HSA-140342,Take_Part_In
Protein,Q9Y2Z9,Pathway,R-BTA-3214847,Take_Part_In
Protein,Q9HA90,Pathway,R-MMU-2142753,Take_Part_In
Protein,Q9UIJ7,Pathway,R-HSA-5579028,Take_Part_In
Protein,Q9NX63,Pathway,hsa04080,Take_Part_In
Protein,O95905,Pathway,R-HSA-5250955,Take_Part_In
Protein,P54819,Pathway,R-HSA-111471,Take_Part_In
Protein,Q96NF6,Pathway,R-BTA-879518,Take_Part_In
