Source Type,Source ID,Target Type,Target ID,Label
Protein,Q9NQW6,Protein,P80723,Interacts_With
Protein,Q9Y4X3,Protein,Q6PK04,Interacts_With
Protein,Q9Y6A4,Protein,Q5T9A4,Interacts_With
Protein,A2RUQ5,Protein,P0DMC3,Interacts_With
Protein,Q7Z569,Protein,Q9BXJ2,Interacts_With
Protein,Q6P387,Protein,A7MBM2,Interacts_With
Protein,P20800,Protein,O14734,Interacts_With
Protein,P00736,Protein,Q8IWP9,Interacts_With
Protein,Q9UNU6,Protein,Q9UKV5,Interacts_With
Protein,Q9UKV5,Protein,P07307,Interacts_With
Protein,Q9H0S4,Protein,Q86XS5,Interacts_With
Protein,Q9UHG0,Protein,Q7L3B6,Interacts_With
Protein,Q8N8D9,Protein,Q9UIJ7,Interacts_With
Protein,Q19T08,Protein,Q13112,Interacts_With
Protein,O75190,Protein,Q96IX5,Interacts_With
Protein,Q7L3B6,Protein,Q8NC06,Interacts_With
Protein,Q86XS5,Protein,P09497,Interacts_With
Protein,Q9NZ63,Protein,Q6ZUS6,Interacts_With
Protein,P47895,Protein,Q8N5N4,Interacts_With
Protein,Q9Y2F9,Protein,A5D8V7,Interacts_With
Protein,P63167,Protein,Q9H0S4,Interacts_With
Protein,Q8N5C7,Protein,Q14011,Interacts_With
Protein,O95561,Protein,P13584,Interacts_With
Protein,Q9BXJ5,Protein,Q9Y4X0,Interacts_With
Protein,P25311,Protein,Q9H1Y0,Interacts_With
Protein,P53621,Domain,IPR002638,Has
Protein,Q9NQR7,Domain,IPR004104,Has
Protein,Q96PC3,Domain,IPR025946,Has
Protein,Q9NY35,Domain,IPR024767,Has
Protein,P30411,Domain,IPR000268,Has
Protein,Q9GZP9,Domain,IPR025946,Has
Protein,O15144,Domain,IPR004160,Has
Protein,Q6ZUS6,Domain,IPR014020,Has
Protein,Q66GS9,Domain,IPR024548,Has
Protein,Q8N4C9,Domain,IPR040749,Has
Protein,Q9H069,Domain,IPR006011,Has
Protein,Q9NZ63,Domain,IPR024767,Has
Protein,Q8NCG5,Domain,IPR006011,Has
Protein,P35523,Domain,IPR033768,Has
Protein,O75027,Domain,IPR018996,Has
Protein,Q9Y276,Domain,IPR010504,Has
Protein,O60869,Domain,IPR023780,Has
Protein,O14645,Domain,IPR041680,Has
Protein,Q13155,Domain,IPR002638,Has
Protein,O00244,Domain,IPR025946,Has
Protein,A6NC57,Domain,IPR014030,Has
Protein,P27708,Domain,IPR041523,Has
Protein,Q96D53,Domain,IPR004123,Has
Protein,P08574,Domain,IPR012934,Has
Protein,O60832,Domain,IPR027179,Has
Protein,O15120,Domain,IPR040459,Has
Protein,Q4VCS5,Domain,IPR015341,Has
Protein,Q6RI45,Domain,IPR002017,Has
Protein,Q9H1Y0,Domain,IPR019575,Has
Protein,Q5VU57,Domain,IPR013500,Has
Protein,Q9HC77,Domain,IPR029002,Has
Protein,P54252,Domain,IPR040749,Has
Protein,Q5W0N0,Domain,IPR025697,Has
Protein,Q66GS9,Domain,IPR013746,Has
Protein,P59910,Domain,IPR007502,Has
Protein,Q9ULE3,Domain,IPR013243,Has
Protein,P52798,Domain,IPR019365,Has
Protein,P53621,Domain,IPR022702,Has
Protein,P0DMU8,Domain,IPR032042,Has
Protein,Q5T4W7,Domain,IPR020438,Has
Protein,Q9NR19,Domain,IPR026823,Has
Protein,Q9UHG0,Domain,IPR032040,Has
Protein,P12109,Domain,IPR000268,Has
Protein,O14645,Domain,IPR020470,Has
Protein,Q9H9Q2,Domain,IPR001810,Has
Protein,P47895,Domain,IPR008251,Has
Protein,Q6Y288,Domain,IPR015341,Has
Protein,Q8TEH3,Domain,IPR044046,Has
Protein,O00244,Domain,IPR021566,Has
Protein,Q8N1L4,Domain,IPR020438,Has
Protein,Q5SVJ3,Domain,IPR001810,Has
Protein,Q96P48,Domain,IPR019575,Has
Protein,P25774,Domain,IPR012981,Has
Protein,P30411,Domain,IPR025640,Has
Protein,Q9Y294,Domain,IPR005720,Has
Protein,Q9H816,Domain,IPR008598,Has
Protein,Q8NC06,Domain,IPR002773,Has
Protein,Q8IW93,Domain,IPR007829,Has
Protein,Q6ZUS6,Domain,IPR001581,Has
Protein,Q9Y2Z9,Domain,IPR002773,Has
Protein,Q9BXJ5,Domain,IPR015377,Has
Protein,P19099,Domain,IPR004088,Has
Protein,Q9NZ63,Domain,IPR041523,Has
Protein,Q6RFH8,Domain,IPR022676,Has
Protein,Q9H3Q1,Domain,IPR025749,Has
Protein,O14645,Domain,IPR012981,Has
Protein,Q5SVJ3,Domain,IPR041291,Has
Protein,Q9H069,Domain,IPR032699,Has
Protein,Q7L190,Domain,IPR025640,Has
Protein,Q9H161,Domain,IPR025749,Has
Protein,Q5H9J7,Domain,IPR027179,Has
Protein,A6NHY2,Domain,IPR001810,Has
Protein,Q9P1A6,Domain,IPR025697,Has
Protein,Q9Y294,Domain,IPR026823,Has
Protein,Q6ZUS6,Domain,IPR032365,Has
Protein,Q99618,Domain,IPR013194,Has
Protein,O43572,Domain,IPR002017,Has
Protein,Q9NY25,Domain,IPR005199,Has
Protein,P35523,Domain,IPR035372,Has
Protein,P63172,Domain,IPR035372,Has
Protein,Q8NI51,Domain,IPR010504,Has
Protein,Q9Y4X3,Domain,IPR018996,Has
Protein,Q9H1C7,Domain,IPR007829,Has
Protein,P35462,Domain,IPR019575,Has
Protein,O60832,Domain,IPR019365,Has
Protein,H7C241,Function,GO:0046982,Enables
Protein,Q9P203,Function,GO:0005654,Enables
Protein,Q6Q788,Function,GO:0034237,Enables
Protein,Q86Y29,Function,GO:0051301,Enables
Protein,Q9NR09,Function,GO:0052689,Enables
Protein,O43520,Function,GO:0007249,Enables
Protein,Q5T9A4,Function,GO:0006974,Enables
Protein,Q96AP0,Function,GO:0001649,Enables
Protein,Q96AZ1,Function,GO:0038083,Enables
Protein,Q7L3B6,Function,GO:0005789,Enables
Protein,O14981,Function,GO:0005829,Enables
Protein,O15144,Function,GO:0103095,Enables
Protein,Q9GZP9,Function,GO:0048471,Enables
Protein,Q9P1A6,Function,GO:0007249,Enables
Protein,Q96PC3,Function,GO:0016243,Enables
Protein,Q9HBH7,Function,GO:0046982,Enables
Protein,Q15825,Function,GO:0005178,Enables
Protein,Q504U0,Function,GO:0097361,Enables
Protein,Q8IW93,Function,GO:0005634,Enables
Protein,O95905,Function,GO:0048010,Enables
Protein,O43169,Function,GO:0043552,Enables
Protein,Q01094,Function,GO:0010008,Enables
Protein,P0C864,Function,GO:0048010,Enables
Protein,P0DMC3,Function,GO:0005829,Enables
Protein,Q96IT6,Function,GO:0001649,Enables
Protein,Q9C0I3,Function,GO:0052689,Enables
Protein,Q9NY35,Function,GO:0045429,Enables
Protein,D6RIA3,Function,GO:0001933,Enables
Protein,P10515,Function,GO:0015485,Enables
Protein,Q8IZP9,Function,GO:0038100,Enables
Protein,Q9UJU6,Function,GO:0060322,Enables
Protein,Q5T9A4,Function,GO:0060322,Enables
Protein,O60869,Function,GO:0045454,Enables
Protein,P04053,Function,GO:0003682,Enables
Protein,Q9H1Y0,Function,GO:0046982,Enables
Protein,P30411,Function,GO:0043394,Enables
Protein,Q99618,Function,GO:0000777,Enables
Protein,Q9GZP9,Function,GO:0031090,Enables
Protein,Q96BT3,Function,GO:0005737,Enables
Protein,B7Z1M9,Function,GO:0003700,Enables
Protein,O00244,Function,GO:0034237,Enables
Protein,Q9H0L4,Function,GO:0007030,Enables
Protein,P04053,Function,GO:0001933,Enables
Protein,P54252,Function,GO:0005737,Enables
Protein,Q9NR09,Function,GO:0010586,Enables
Protein,Q86XJ0,Function,GO:0006633,Enables
Protein,A6NKQ9,Function,GO:0051281,Enables
Protein,Q9H161,Function,GO:0006906,Enables
Protein,Q5T655,Function,GO:0097718,Enables
Protein,P08319,Function,GO:0046415,Enables
Protein,Q8IWT3,Function,GO:0006906,Enables
Protein,Q9NZ63,Function,GO:0006906,Enables
Protein,P0DP74,Function,GO:0006668,Enables
Protein,P19099,Function,GO:0030449,Enables
Protein,O15194,Function,GO:0050905,Enables
Protein,Q86XJ0,Function,GO:0016323,Enables
Protein,O95886,Function,GO:1901379,Enables
Protein,P13584,Function,GO:0006668,Enables
Protein,P08574,Function,GO:0000305,Enables
Protein,Q9Y2A9,Function,GO:0045429,Enables
Protein,Q5TDH0,Function,GO:0043687,Enables
Protein,Q9NQR7,Function,GO:0021853,Enables
Protein,Q9GZP9,Function,GO:0043687,Enables
Protein,Q9H0L4,Function,GO:0006816,Enables
Protein,Q4VCS5,Function,GO:0060134,Enables
Protein,Q5TID7,Function,GO:0000777,Enables
Protein,Q5W0N0,Function,GO:0015245,Enables
Protein,P25311,Function,GO:0031072,Enables
Protein,Q8IZP9,Function,GO:0048471,Enables
Protein,Q5VU57,Function,GO:0016323,Enables
Protein,Q14154,Function,GO:0050678,Enables
Protein,Q6RI45,Function,GO:0001649,Enables
Protein,Q7Z569,Function,GO:0007030,Enables
Protein,Q9UJU6,Function,GO:0051281,Enables
Protein,Q9NQ75,Function,GO:0060134,Enables
Protein,Q14154,Function,GO:0045429,Enables
Protein,P53621,Function,GO:0050678,Enables
Protein,O75190,Function,GO:0046415,Enables
Protein,Q96A70,Function,GO:0038083,Enables
Protein,P08217,Function,GO:0001649,Enables
Protein,Q01094,Function,GO:0030449,Enables
Protein,Q7Z5M8,Function,GO:0005813,Enables
Protein,Q9H816,Function,GO:0031965,Enables
Protein,Q9H161,Function,GO:0046415,Enables
Protein,Q9NQW6,Function,GO:0042645,Enables
Protein,Q9Y4X0,Location,ECO:0000323,Localizes_To
Protein,Q8IZP9,Location,ECO:0000323,Localizes_To
Protein,Q9NR09,Location,ECO:0000323,Localizes_To
Protein,P19099,Location,ECO:0000323,Localizes_To
Protein,H3BN30,Location,ECO:0000323,Localizes_To
Protein,Q8IUK8,Location,ECO:0000323,Localizes_To
Protein,Q8TEB1,Location,ECO:0000323,Localizes_To
Protein,Q9BY08,Location,ECO:0000323,Localizes_To
Protein,Q9UJU6,Location,ECO:0000323,Localizes_To
Protein,Q9NR19,Location,ECO:0000323,Localizes_To
Protein,A6NC57,Location,ECO:0000323,Localizes_To
Protein,Q5T7M4,Location,ECO:0000323,Localizes_To
Protein,Q9P1A6,Location,ECO:0000323,Localizes_To
Protein,Q5VUE5,Location,ECO:0000323,Localizes_To
Protein,O43520,Location,ECO:0000323,Localizes_To
Protein,Q9H0L4,Location,ECO:0000323,Localizes_To
Protein,Q9NQ75,Location,ECO:0000323,Localizes_To
Protein,Q9Y2A9,Location,ECO:0000323,Localizes_To
Protein,Q9H3Q1,Location,ECO:0000323,Localizes_To
Protein,Q8N687,Location,ECO:0000323,Localizes_To
Protein,O96020,Location,ECO:0000323,Localizes_To
Protein,A4FU69,Location,ECO:0000323,Localizes_To
Protein,Q969J3,Location,ECO:0000323,Localizes_To
Protein,Q12834,Location,ECO:0000323,Localizes_To
Protein,Q96IT6,Location,ECO:0000323,Localizes_To
Protein,O43572,Location,ECO:0000323,Localizes_To
Protein,Q13616,Location,ECO:0000323,Localizes_To
Protein,O60762,Location,ECO:0000323,Localizes_To
Protein,Q68DC2,Location,ECO:0000323,Localizes_To
Protein,P0DMU8,Location,ECO:0000323,Localizes_To
Protein,P49753,Location,ECO:0000323,Localizes_To
Protein,Q9HBK9,Location,ECO:0000323,Localizes_To
Protein,Q9HBH7,Location,ECO:0000323,Localizes_To
Protein,Q5BKT4,Location,ECO:0000323,Localizes_To
Protein,P0C2S0,Location,ECO:0000323,Localizes_To
Protein,P54819,Location,ECO:0000323,Localizes_To
Protein,Q9UFH2,Location,ECO:0000323,Localizes_To
Protein,A6NHY2,Location,ECO:0000323,Localizes_To
Protein,O94805,Location,ECO:0000323,Localizes_To
Protein,P02458,Location,ECO:0000323,Localizes_To
Protein,Q13155,Location,ECO:0000323,Localizes_To
Protein,P15882,Location,ECO:0000323,Localizes_To
Protein,P02489,Location,ECO:0000323,Localizes_To
Protein,Q5W0N0,Location,ECO:0000323,Localizes_To
Protein,P01133,Location,ECO:0000323,Localizes_To
Protein,Q07507,Location,ECO:0000323,Localizes_To
Protein,O43150,Location,ECO:0000323,Localizes_To
Protein,Q9UNU6,Location,ECO:0000323,Localizes_To
Protein,Q8N4C9,Location,ECO:0000323,Localizes_To
Protein,O75190,Location,ECO:0000323,Localizes_To
Protein,Q6Q788,Location,ECO:0000323,Localizes_To
Protein,P0DMC3,Location,ECO:0000323,Localizes_To
Protein,Q8TEA8,Location,ECO:0000323,Localizes_To
Protein,Q9Y2Z9,Location,ECO:0000323,Localizes_To
Protein,Q8IWT3,Location,ECO:0000323,Localizes_To
Protein,Q0P5N6,Location,ECO:0000323,Localizes_To
Protein,Q8NI51,Location,ECO:0000323,Localizes_To
Protein,O95154,Location,ECO:0000323,Localizes_To
Protein,P35523,Location,ECO:0000323,Localizes_To
Protein,Q96J87,Location,ECO:0000323,Localizes_To
Protein,P09497,Location,ECO:0000323,Localizes_To
Protein,O43286,Location,ECO:0000323,Localizes_To
Protein,Q5VU57,Location,ECO:0000323,Localizes_To
Protein,Q13112,Location,ECO:0000323,Localizes_To
Protein,Q9ULH1,Location,ECO:0000323,Localizes_To
Protein,Q5T9A4,Location,ECO:0000323,Localizes_To
Protein,O60676,Location,ECO:0000323,Localizes_To
Protein,Q5H9J7,Location,ECO:0000323,Localizes_To
Protein,Q96NF6,Location,ECO:0000323,Localizes_To
Protein,A2RUQ5,Location,ECO:0000323,Localizes_To
Protein,Q8N5C7,Location,ECO:0000323,Localizes_To
Protein,Q96B36,Location,ECO:0000323,Localizes_To
Protein,Q96LL3,Location,ECO:0000323,Localizes_To
Protein,Q9Y4D1,Location,ECO:0000323,Localizes_To
Protein,Q96BT3,Location,ECO:0000323,Localizes_To
Protein,P59910,Pathway,R-HSA-381183,Take_Part_In
Protein,Q9UIJ7,Pathway,R-MMU-165159,Take_Part_In
Protein,A6NJI1,Pathway,R-RNO-418597,Take_Part_In
Protein,Q8TEB1,Pathway,hsa04360,Take_Part_In
Protein,Q86XS5,Pathway,hsa04510,Take_Part_In
Protein,Q5T9A4,Pathway,hsa00010,Take_Part_In
Protein,Q7Z569,Pathway,R-MMU-9020958,Take_Part_In
Protein,Q9Y4X0,Pathway,hsa03013,Take_Part_In
Protein,Q8IUK8,Pathway,R-HSA-5693554,Take_Part_In
Protein,P13497,Pathway,hsa03013,Take_Part_In
Protein,Q4VCS5,Pathway,hsa04260,Take_Part_In
Protein,O14559,Pathway,R-RNO-418597,Take_Part_In
Protein,Q5VU57,Pathway,R-MMU-9615017,Take_Part_In
Protein,Q5T4W7,Pathway,R-HSA-5250955,Take_Part_In
Protein,Q99618,Pathway,hsa04142,Take_Part_In
Protein,O95561,Pathway,R-MMU-194313,Take_Part_In
Protein,Q8IZC6,Pathway,R-RNO-2024101,Take_Part_In
Protein,Q9UMX3,Pathway,R-MMU-2142753,Take_Part_In
Protein,P80723,Pathway,R-MMU-418555,Take_Part_In
Protein,O75348,Pathway,R-RNO-561048,Take_Part_In
Protein,Q4KMG0,Pathway,hsa04721,Take_Part_In
Protein,O96020,Pathway,R-MMU-159231,Take_Part_In
Protein,O43918,Pathway,hsa04540,Take_Part_In
Protein,P0DP74,Pathway,hsa04146,Take_Part_In
Protein,Q5VU57,Pathway,R-RNO-205017,Take_Part_In
Protein,P13942,Pathway,hsa04115,Take_Part_In
Protein,Q08462,Pathway,hsa00310,Take_Part_In
Protein,P63167,Pathway,R-MMU-199220,Take_Part_In
Protein,O75530,Pathway,R-HSA-5663020,Take_Part_In
Protein,Q9H816,Pathway,hsa04340,Take_Part_In
Protein,P0C864,Pathway,R-HSA-75815,Take_Part_In
Protein,Q9P1F3,Pathway,R-RNO-380612,Take_Part_In
Protein,Q86XJ0,Pathway,R-MMU-165159,Take_Part_In
Protein,Q0P5N6,Pathway,R-HSA-9693928,Take_Part_In
Protein,Q8N8D9,Pathway,hsa03040,Take_Part_In
Protein,Q8WYQ3,Pathway,R-RNO-209563,Take_Part_In
Protein,Q15825,Pathway,hsa00020,Take_Part_In
Protein,Q96P48,Pathway,R-RNO-211981,Take_Part_In
Protein,Q01523,Pathway,R-MMU-159231,Take_Part_In
Protein,P04745,Pathway,hsa04540,Take_Part_In
Protein,Q6P387,Pathway,R-HSA-9619665,Take_Part_In
Protein,O14559,Pathway,R-MMU-418555,Take_Part_In
Protein,Q96GX9,Pathway,hsa00564,Take_Part_In
Protein,Q99618,Pathway,R-MMU-1296061,Take_Part_In
Protein,P0DMU8,Pathway,R-HSA-6791461,Take_Part_In
Protein,O75530,Pathway,R-MMU-9020958,Take_Part_In
Protein,Q14203,Pathway,hsa04610,Take_Part_In
Protein,Q8TEB1,Pathway,R-HSA-4720475,Take_Part_In
Protein,Q9Y4X0,Pathway,R-MMU-199220,Take_Part_In
Protein,P10645,Pathway,R-HSA-5689896,Take_Part_In
Protein,O60869,Pathway,R-HSA-5663213,Take_Part_In
Protein,D6RIA3,Pathway,R-MMU-196757,Take_Part_In
Protein,Q969J3,Pathway,R-HSA-167160,Take_Part_In
Protein,Q8WYN3,Pathway,R-MMU-3000178,Take_Part_In
Protein,Q6ZU45,Pathway,hsa04010,Take_Part_In
Protein,Q9UNU6,Pathway,R-HSA-5663213,Take_Part_In
Protein,Q9H6F5,Pathway,R-MMU-3371453,Take_Part_In
Protein,Q86XJ0,Pathway,hsa04024,Take_Part_In
Protein,Q9Y698,Pathway,R-HSA-5663213,Take_Part_In
Protein,Q5T4W7,Pathway,R-MMU-141444,Take_Part_In
Protein,Q07507,Pathway,R-HSA-432030,Take_Part_In
Protein,Q9Y2A9,Pathway,R-HSA-5578998,Take_Part_In
Protein,Q8TEH3,Pathway,R-MMU-196757,Take_Part_In
Protein,Q8IYT2,Pathway,R-MMU-1296061,Take_Part_In
Protein,P62952,Pathway,hsa04144,Take_Part_In
Protein,Q99715,Pathway,hsa04260,Take_Part_In
Protein,P55285,Pathway,R-RNO-201451,Take_Part_In
Protein,Q6P387,Pathway,hsa04960,Take_Part_In
Protein,Q5TID7,Pathway,R-HSA-9619665,Take_Part_In
Protein,Q8IWP9,Pathway,hsa00052,Take_Part_In
Protein,P12109,Pathway,R-MMU-433692,Take_Part_In
Protein,Q9NQW6,Pathway,hsa04962,Take_Part_In
Protein,Q86Y29,Pathway,R-BTA-4551638,Take_Part_In
Protein,Q8TEH3,Pathway,hsa04977,Take_Part_In
Protein,P25774,Pathway,hsa00260,Take_Part_In
Protein,Q66GS9,Pathway,R-HSA-205017,Take_Part_In
Protein,Q9Y294,Pathway,R-BTA-5689896,Take_Part_In
Protein,O75190,Pathway,hsa03013,Take_Part_In
Protein,P13584,Pathway,R-RNO-5578775,Take_Part_In
Protein,O15194,Pathway,R-HSA-4720475,Take_Part_In
Protein,A0A1W2PPF3,Pathway,R-HSA-5689896,Take_Part_In
Protein,Q96BT3,Pathway,R-HSA-110314,Take_Part_In
Protein,A6NJI1,Pathway,R-HSA-69541,Take_Part_In
Protein,P54819,Pathway,hsa04724,Take_Part_In
Protein,Q8IUK8,Pathway,R-HSA-5250955,Take_Part_In
Protein,P20800,Pathway,hsa04146,Take_Part_In
Protein,Q14746,Pathway,R-HSA-205017,Take_Part_In
Protein,P01133,Pathway,R-BTA-71403,Take_Part_In
Protein,Q0P5N6,Pathway,hsa04146,Take_Part_In
Protein,Q9Y6A4,Pathway,hsa03008,Take_Part_In
Protein,Q4VCS5,Pathway,hsa04371,Take_Part_In
Protein,Q14154,Pathway,R-HSA-140342,Take_Part_In
Protein,Q13155,Pathway,R-RNO-71032,Take_Part_In
Protein,O43169,Pathway,hsa00515,Take_Part_In
Protein,Q969J3,Pathway,hsa00515,Take_Part_In
Protein,Q5T655,Pathway,R-BTA-975957,Take_Part_In
Protein,P51636,Pathway,R-HSA-9694614,Take_Part_In
Protein,P25774,Pathway,R-MMU-4419969,Take_Part_In
Protein,Q8N4Q1,Pathway,hsa00590,Take_Part_In
Protein,P15882,Pathway,hsa04928,Take_Part_In
Protein,O75530,Pathway,hsa00970,Take_Part_In
Protein,Q9Y4X3,Pathway,R-RNO-6794361,Take_Part_In
Protein,A2RUQ5,Pathway,R-BTA-70263,Take_Part_In
Protein,Q9H816,Pathway,R-RNO-418346,Take_Part_In
Protein,Q14011,Pathway,R-BTA-879518,Take_Part_In
Protein,Q9Y4X3,Pathway,hsa04912,Take_Part_In
Protein,Q9H0S4,Pathway,hsa04371,Take_Part_In
Protein,P80723,Pathway,hsa00590,Take_Part_In
Protein,P51857,Pathway,R-MMU-199220,Take_Part_In
Protein,Q96BT3,Pathway,R-MMU-5625740,Take_Part_In
Protein,Q86TX2,Pathway,R-MMU-3371453,Take_Part_In
Protein,Q9NQ75,Pathway,R-HSA-110056,Take_Part_In
Protein,O95741,Pathway,R-RNO-5578775,Take_Part_In
Protein,Q9NWW5,Pathway,R-MMU-159231,Take_Part_In
Protein,Q9BT22,Pathway,hsa00310,Take_Part_In
